high_by_point_n,low_by_point_n,high_by_point_n_on_trend,low_by_point_n_on_trend,high_by_point_m,low_by_point_m,high_by_point_m_on_trend,low_by_point_m_on_trend,Fit Score,Total Pnl%,Avg Pnl% per entry,Trade Count
7,8,5,4,7,8,5,4,3.62,551.95,7.77,71
7,8,5,5,7,8,5,5,3.66,500.44,8.07,62
7,8,5,6,7,8,5,6,3.46,529.95,7.91,67
7,8,5,7,7,8,5,7,4.26,558.72,9.16,61
7,8,5,8,7,8,5,8,3.82,533.76,8.61,62
7,8,5,9,7,8,5,9,4.21,551.27,9.34,59
7,8,5,10,7,8,5,10,4.59,559.66,9.99,56
7,8,6,4,7,8,6,4,3.62,551.95,7.77,71
7,8,6,5,7,8,6,5,3.66,500.44,8.07,62
7,8,6,6,7,8,6,6,3.46,529.95,7.91,67
7,8,6,7,7,8,6,7,4.26,558.72,9.16,61
7,8,6,8,7,8,6,8,3.82,533.76,8.61,62
7,8,6,9,7,8,6,9,4.21,551.27,9.34,59
7,8,6,10,7,8,6,10,4.59,559.66,9.99,56
7,8,7,4,7,8,7,4,3.86,565.02,8.19,69
7,8,7,5,7,8,7,5,3.94,513.51,8.56,60
7,8,7,6,7,8,7,6,3.68,543.02,8.35,65
7,8,7,7,7,8,7,7,4.61,571.79,9.69,59
7,8,7,8,7,8,7,8,4.11,546.83,9.11,60
7,8,7,9,7,8,7,9,4.56,564.34,9.9,57
7,8,7,10,7,8,7,10,5.01,572.73,10.61,54
7,8,8,4,7,8,8,4,3.86,565.02,8.19,69
7,8,8,5,7,8,8,5,3.79,487.37,8.26,59
7,8,8,6,7,8,8,6,3.68,543.02,8.35,65
7,8,8,7,7,8,8,7,4.61,571.79,9.69,59
7,8,8,8,7,8,8,8,4.11,546.83,9.11,60
7,8,8,9,7,8,8,9,4.56,564.34,9.9,57
7,8,8,10,7,8,8,10,5.01,572.73,10.61,54
7,8,9,4,7,8,9,4,3.86,565.02,8.19,69
7,8,9,5,7,8,9,5,3.79,487.37,8.26,59
7,8,9,6,7,8,9,6,3.68,543.02,8.35,65
7,8,9,7,7,8,9,7,4.61,571.79,9.69,59
7,8,9,8,7,8,9,8,4.11,546.83,9.11,60
7,8,9,9,7,8,9,9,4.56,564.34,9.9,57
7,8,9,10,7,8,9,10,5.01,572.73,10.61,54
7,8,10,4,7,8,10,4,3.86,565.02,8.19,69
7,8,10,5,7,8,10,5,3.79,487.37,8.26,59
7,8,10,6,7,8,10,6,3.68,543.02,8.35,65
7,8,10,7,7,8,10,7,4.61,571.79,9.69,59
7,8,10,8,7,8,10,8,4.11,546.83,9.11,60
7,8,10,9,7,8,10,9,4.56,564.34,9.9,57
7,8,10,10,7,8,10,10,5.01,572.73,10.61,54
7,9,4,4,7,9,4,4,3.28,534.47,7.03,76
7,9,4,5,7,9,4,5,3.28,482.96,7.21,67
7,9,4,6,7,9,4,6,3.0,501.25,6.87,73
7,9,4,7,7,9,4,7,3.56,530.02,7.91,67
7,9,4,8,7,9,4,8,3.59,526.45,8.1,65
7,9,4,9,7,9,4,9,3.53,522.57,8.04,65
7,9,4,10,7,9,4,10,3.78,530.96,8.56,62
7,9,5,4,7,9,5,4,3.62,551.95,7.77,71
7,9,5,5,7,9,5,5,3.66,500.44,8.07,62
7,9,5,6,7,9,5,6,3.46,529.95,7.91,67
7,9,5,7,7,9,5,7,4.26,558.72,9.16,61
7,9,5,8,7,9,5,8,3.82,533.76,8.61,62
7,9,5,9,7,9,5,9,4.21,551.27,9.34,59
7,9,5,10,7,9,5,10,4.59,559.66,9.99,56
7,9,6,4,7,9,6,4,3.62,551.95,7.77,71
7,9,6,5,7,9,6,5,3.66,500.44,8.07,62
7,9,6,6,7,9,6,6,3.46,529.95,7.91,67
7,9,6,7,7,9,6,7,4.26,558.72,9.16,61
7,9,6,8,7,9,6,8,3.82,533.76,8.61,62
7,9,6,9,7,9,6,9,4.21,551.27,9.34,59
7,9,6,10,7,9,6,10,4.59,559.66,9.99,56
7,9,7,4,7,9,7,4,3.86,565.02,8.19,69
7,9,7,5,7,9,7,5,3.94,513.51,8.56,60
7,9,7,6,7,9,7,6,3.68,543.02,8.35,65
7,9,7,7,7,9,7,7,4.61,571.79,9.69,59
7,9,7,8,7,9,7,8,4.11,546.83,9.11,60
7,9,7,9,7,9,7,9,4.56,564.34,9.9,57
7,9,7,10,7,9,7,10,5.01,572.73,10.61,54
7,9,8,4,7,9,8,4,3.86,565.02,8.19,69
7,9,8,5,7,9,8,5,3.79,487.37,8.26,59
7,9,8,6,7,9,8,6,3.68,543.02,8.35,65
7,9,8,7,7,9,8,7,4.61,571.79,9.69,59
7,9,8,8,7,9,8,8,4.11,546.83,9.11,60
