datetime,open,high,low,close,volume,openinterest,normal_high_by_point,normal_low_by_point,trending_high_by_point,trending_low_by_point,close_average_percent,is_ma_trending,maybe_buy_signal,maybe_two_by_zero_signal,maybe_dl_break_signal,bar_count_at_signal,slow_ma_distr_percent,fast_ma_distr_percent,trsi,low_trsi,is_dtpl
04/11/2024 10:00,70631.08,71305.89,69567.21,70006.23,31917.25595,0,,64493.07,,,1.929350207,1,1,-1,-1,3,70,53.5,54.67934075,53.32607225,0
04/12/2024 10:00,70006.22,71227.46,65086.86,67116.52,56072.86229,0,,,,,1.927610454,1,-1,-1,-1,0,79,87,48.14747597,48.14747597,0
04/13/2024 10:00,67116.52,67929,60660.57,63924.51,71395.22019,0,,,72797.99,,1.947174479,1,-1,-1,-1,0,99,99.5,42.15679529,42.15679529,0
04/14/2024 10:00,63924.52,65840,62134,65661.84,61599.17818,0,,,,,1.969373775,1,-1,-1,-1,0,85.5,93,46.08855002,42.15679529,0
04/15/2024 10:00,65661.85,66867.07,62274.4,63419.99,52389.53069,0,,,,,1.980077294,0,-1,-1,-1,0,96,99,42.11080843,42.11080843,0
04/16/2024 10:00,63419.99,64365,61600,63793.39,53435.29331,0,,,,,1.984855593,0,-1,-1,-1,0,96.5,97.5,42.99332262,42.11080843,0
04/17/2024 10:00,63793.4,64499,59678.16,61277.37,50610.54509,0,,,,,1.985682063,0,-1,-1,-1,0,100,96.5,38.71096735,38.71096735,0
04/18/2024 10:00,61277.38,64117.09,60803.35,63470.08,43601.60918,0,72797.99,,,,2.004368941,0,1,-1,-1,8,98.5,72,43.95063976,38.71096735,0
04/19/2024 10:00,63470.09,65450,59600.01,63818.01,69774.30271,0,,,,,2.003159874,0,-1,-1,1,8,99,82.5,44.75766801,38.71096735,0
04/20/2024 10:00,63818.01,65419,63090.07,64940.59,23137.42975,0,,,,,1.997004483,0,-1,-1,-1,0,100,44,47.389745,43.95063976,0
04/21/2024 10:00,64940.58,65695.56,64237.5,64941.15,19316.42152,0,,,,,2.004562129,0,-1,-1,-1,0,99,46.5,47.39109161,44.75766801,0
04/22/2024 10:00,64941.15,67232.35,64500,66819.32,31397.99371,0,,,,,1.998147275,0,-1,-1,-1,0,98.5,14,51.84314676,47.389745,0
04/23/2024 10:00,66819.32,67183.01,65765.81,66414,22599.90004,0,,,,59600.01,2.005980778,0,-1,-1,-1,0,97,34,50.84318857,47.39109161,0
04/24/2024 10:00,66414,67070.43,63606.06,64289.59,33595.69637,0,,,,,1.99951551,0,-1,-1,-1,0,98,57,45.85127673,45.85127673,0
04/25/2024 10:00,64289.58,65297.94,62794,64498.34,31341.46338,0,,,,,2.015051288,0,-1,-1,-1,0,87,69.5,46.4080857,45.85127673,0
04/26/2024 10:00,64498.33,64820.01,63297.48,63770.01,27085.19346,0,,,,,2.015966205,0,-1,-1,-1,0,95,77.5,44.6817143,44.6817143,0
04/27/2024 10:00,63770,63923.41,62391.24,63461.98,20933.06052,0,,59600.01,67232.35,,2.015756937,0,-1,-1,-1,0,94,91.5,43.93728527,43.93728527,0
04/28/2024 10:00,63461.98,64370,62781,63118.62,16949.20005,0,,,,,2.014547614,0,1,-1,-1,6,81,90.5,43.07576046,43.07576046,0
04/29/2024 10:00,63118.62,64228.35,61765.53,63866,28150.22947,0,,,,,2.007858958,0,-1,1,-1,7,93.5,69,45.57721046,43.07576046,0
04/30/2024 10:00,63866,64734,59191.6,60672,54947.65535,0,,,,,2.011623347,0,-1,-1,-1,0,96,93,37.91015988,37.91015988,0
05/01/2024 10:00,60672.01,60841.63,56552.82,58364.97,81166.46823,0,,,,,2.034716057,0,-1,-1,-1,0,98,95.5,33.52350899,33.52350899,0
05/02/2024 10:00,58364.97,59625,56911.84,59060.61,47583.81961,0,,,,,2.053551168,0,-1,-1,-1,0,96,93,35.9308756,33.52350899,0
05/03/2024 10:00,59060.6,63333,58811.32,62882.01,43628.40143,0,,,,,2.053893392,0,1,-1,-1,3,93,64.5,47.23512425,33.52350899,0
05/04/2024 10:00,62882.01,64540,62541.03,63892.04,24368.69282,0,,,,,2.061448878,0,-1,-1,1,3,98,60,49.75833427,35.9308756,0
05/05/2024 10:00,63892.03,64646,62822.17,64012,18526.75029,0,,,,56552.82,2.067640256,0,-1,-1,-1,0,98,27,50.06376389,47.23512425,0
05/06/2024 10:00,64012,65500,62700,63165.19,34674.91949,0,,,,,2.067242391,0,-1,-1,-1,0,98.5,17.5,47.85227911,47.85227911,0
05/07/2024 10:00,63165.18,64422.41,62261,62312.08,25598.79472,0,,,,,2.066905759,0,-1,-1,-1,0,100,28.5,45.66382963,45.66382963,0
