No.,Entry Time,First Exit Time,Second Exit Time,Weighted PnL%,Combined Score,Signal Type,Static High Used,Static Low Used,"High (m,n)","Low (m,n)"
30,2024-10-27 11:00:00,2024-10-29 11:00:00,2025-02-24 11:00:00,64.8521,1.0,Trending,False,True,"(18.40, 18.40)","(4.00, 4.00)"
31,2024-11-27 11:00:00,2024-12-05 11:00:00,2025-02-25 11:00:00,12.3162,1.0,Trending,False,True,"(5.00, 5.00)","(4.00, 4.00)"
32,2024-12-05 11:00:00,2024-12-06 11:00:00,2025-02-25 11:00:00,11.5573,1.0,Trending,True,False,"(4.00, 4.00)","(5.60, 5.60)"
33,2024-12-11 11:00:00,2024-12-15 11:00:00,2024-12-29 11:00:00,7.9945,1.0,Trending,False,True,"(12.00, 12.00)","(4.00, 4.00)"
34,2024-12-15 11:00:00,2024-12-18 11:00:00,,-12.2338,1.0,Trending,False,True,"(12.00, 12.00)","(4.00, 4.00)"
35,2024-12-20 11:00:00,2025-01-06 11:00:00,2025-02-24 11:00:00,11.0616,1.0,Trending,True,False,"(4.00, 4.00)","(5.60, 5.60)"
36,2024-12-23 11:00:00,2024-12-24 11:00:00,2025-02-24 11:00:00,13.0793,1.0,Trending,False,True,"(5.00, 5.00)","(4.00, 4.00)"
37,2025-01-01 11:00:00,2025-01-03 11:00:00,2025-02-24 11:00:00,13.3571,1.0,Normal,True,False,"(4.00, 4.00)","(9.71, 9.71)"
38,2025-01-08 11:00:00,2025-01-15 11:00:00,2025-02-24 11:00:00,13.0347,1.0,Normal,True,False,"(4.00, 4.00)","(9.71, 9.71)"
39,2025-01-13 11:00:00,2025-01-15 11:00:00,2025-02-25 11:00:00,13.4184,1.0,Normal,True,False,"(4.00, 4.00)","(9.71, 9.71)"
40,2025-04-07 10:00:00,2025-04-09 10:00:00,2025-08-05 08:00:00,59.381,1.0,Normal,True,False,"(4.00, 4.00)","(26.00, 26.00)"
41,2025-04-25 10:00:00,2025-05-08 10:00:00,2025-08-23 08:00:00,35.3508,1.0,Normal,True,False,"(4.00, 4.00)","(7.40, 7.40)"
42,2025-05-01 10:00:00,2025-05-08 10:00:00,2025-08-29 08:00:00,32.8274,1.0,Normal,True,False,"(4.00, 4.00)","(7.40, 7.40)"
43,2025-05-06 10:00:00,2025-05-08 10:00:00,2025-09-03 08:00:00,32.3689,1.0,Normal,True,False,"(4.00, 4.00)","(7.40, 7.40)"
44,2025-05-26 10:00:00,2025-05-29 10:00:00,,-10.5406,1.0,Trending,False,True,"(7.71, 7.71)","(4.00, 4.00)"
45,2025-06-07 08:00:00,2025-06-09 08:00:00,2025-06-22 08:00:00,-5.1061,1.0,Trending,True,False,"(4.00, 4.00)","(4.40, 4.40)"
46,2025-06-13 08:00:00,2025-06-21 08:00:00,,-11.1626,1.0,Trending,True,False,"(4.00, 4.00)","(4.00, 4.00)"
47,2025-06-23 08:00:00,2025-07-02 08:00:00,2025-10-21 08:00:00,23.2452,1.0,Normal,True,False,"(4.00, 4.00)","(5.20, 5.20)"
48,2025-07-02 08:00:00,2025-07-10 08:00:00,2025-10-30 08:00:00,19.336,1.0,Trending,False,True,"(4.50, 4.50)","(4.00, 4.00)"
49,2025-08-03 08:00:00,2025-08-09 08:00:00,2025-08-25 08:00:00,8.5594,1.0,Trending,True,False,"(4.00, 4.00)","(11.60, 11.60)"
50,2025-08-06 08:00:00,2025-08-10 08:00:00,2025-08-21 08:00:00,8.0777,1.0,Trending,True,False,"(4.00, 4.00)","(11.60, 11.60)"
51,2025-08-22 08:00:00,2025-08-25 08:00:00,,-17.507,1.0,Normal,True,False,"(4.00, 4.00)","(11.60, 11.60)"
52,2025-08-24 08:00:00,2025-08-25 08:00:00,,-8.9387,1.0,Normal,True,False,"(4.00, 4.00)","(14.00, 14.00)"
53,2025-08-27 08:00:00,2025-08-29 08:00:00,,-7.7779,1.0,Normal,True,False,"(4.00, 4.00)","(14.00, 14.00)"
54,2025-09-02 08:00:00,2025-09-11 08:00:00,2025-10-17 08:00:00,11.2484,1.0,Normal,True,False,"(4.00, 4.00)","(14.00, 14.00)"
55,2025-09-10 08:00:00,2025-09-18 08:00:00,2025-09-25 08:00:00,-5.6574,1.0,Normal,True,False,"(4.00, 4.00)","(14.00, 14.00)"
56,2025-09-24 08:00:00,2025-09-25 08:00:00,,-11.4181,1.0,Normal,True,False,"(4.00, 4.00)","(14.00, 14.00)"
57,2025-09-28 08:00:00,2025-10-01 08:00:00,2025-10-16 08:00:00,10.2154,1.0,Normal,True,False,"(4.00, 4.00)","(14.00, 14.00)"
58,2025-10-17 08:00:00,2025-10-19 08:00:00,2025-11-04 08:00:00,8.4049,1.0,Normal,True,False,"(4.00, 4.00)","(6.17, 6.17)"
59,2025-10-19 08:00:00,2025-10-20 08:00:00,2025-11-04 08:00:00,7.052,1.0,Normal,True,False,"(4.00, 4.00)","(9.40, 9.40)"
60,2025-10-23 08:00:00,2025-10-26 08:00:00,2025-11-03 08:00:00,6.1684,1.0,Normal,True,False,"(4.00, 4.00)","(9.40, 9.40)"
61,2025-10-30 08:00:00,2025-10-31 08:00:00,2025-11-04 08:00:00,-10.0051,1.0,Normal,True,False,"(4.00, 4.00)","(9.40, 9.40)"
62,2025-11-04 08:00:00,2025-11-05 08:00:00,2025-11-14 08:00:00,6.2076,1.0,Normal,True,False,"(4.00, 4.00)","(25.17, 25.17)"
63,2025-11-05 08:00:00,2025-11-10 08:00:00,2025-11-14 08:00:00,-15.2334,1.0,Normal,True,False,"(4.00, 4.00)","(16.29, 16.29)"
64,2025-11-08 08:00:00,2025-11-09 08:00:00,2025-11-14 08:00:00,5.675,1.0,Normal,True,False,"(4.00, 4.00)","(16.29, 16.29)"
65,2025-11-13 08:00:00,2025-11-14 08:00:00,,-15.3413,1.0,Normal,True,False,"(4.00, 4.00)","(25.17, 25.17)"
66,2025-11-18 08:00:00,2025-11-20 08:00:00,,-20.4073,1.0,Normal,False,True,"(18.62, 18.62)","(4.00, 4.00)"
