No.,Entry Time,First Exit Time,Second Exit Time,Weighted PnL%,Combined Score,Signal Type,Static High Used,Static Low Used,"High (m,n)","Low (m,n)"
39,2025-08-24 08:00:00,2025-08-25 08:00:00,,-6.162,0.534,Normal,True,False,"(4.00, 4.00)","(19.71, 19.71)"
40,2025-09-03 08:00:00,2025-09-11 08:00:00,2025-10-16 08:00:00,7.5586,0.534,Normal,True,False,"(4.00, 4.00)","(19.71, 19.71)"
41,2025-09-10 08:00:00,2025-09-18 08:00:00,2025-09-25 08:00:00,-3.9,0.534,Normal,True,False,"(4.00, 4.00)","(19.71, 19.71)"
42,2025-09-28 08:00:00,2025-10-01 08:00:00,2025-10-16 08:00:00,7.0421,0.534,Normal,True,False,"(4.00, 4.00)","(19.71, 19.71)"
43,2025-10-18 08:00:00,2025-10-20 08:00:00,2025-11-04 08:00:00,5.5205,0.5447,Normal,True,False,"(4.00, 4.00)","(25.60, 25.60)"
44,2025-10-23 08:00:00,2025-10-26 08:00:00,2025-11-03 08:00:00,4.2962,0.5447,Normal,True,False,"(4.00, 4.00)","(25.60, 25.60)"
45,2025-10-31 08:00:00,2025-11-04 08:00:00,,-15.4615,0.5447,Normal,True,False,"(4.00, 4.00)","(25.60, 25.60)"
46,2025-11-05 08:00:00,2025-11-10 08:00:00,2025-11-14 08:00:00,-9.9884,0.4835,Normal,True,False,"(4.00, 4.00)","(18.33, 18.33)"
47,2025-11-08 08:00:00,2025-11-09 08:00:00,2025-11-14 08:00:00,3.721,0.4835,Normal,True,False,"(4.00, 4.00)","(18.33, 18.33)"
48,2025-11-18 08:00:00,2025-11-20 08:00:00,,-13.524,0.4941,Normal,False,True,"(18.62, 18.62)","(4.00, 4.00)"
49,2025-11-26 08:00:00,2025-11-28 08:00:00,,3.7673,0.4941,Normal,False,True,"(18.62, 18.62)","(4.00, 4.00)"
