No.,Entry Time,First Exit Time,Second Exit Time,Weighted PnL%,Combined Score,Signal Type,Static High Used,Static Low Used,"High (m,n)","Low (m,n)"
14,2024-04-14 10:00:00,2024-05-01 10:00:00,,-15.4614,0.1957,Trending,True,False,"(4.00, 4.00)","(9.00, 9.00)"
15,2024-04-17 10:00:00,2024-04-18 10:00:00,2024-05-01 10:00:00,5.4941,0.3376,Normal,True,False,"(4.00, 4.00)","(14.00, 14.00)"
16,2024-04-20 10:00:00,2024-05-01 10:00:00,,-14.0879,0.1957,Normal,True,False,"(4.00, 4.00)","(9.00, 9.00)"
17,2024-05-03 10:00:00,2024-05-06 10:00:00,2024-07-05 10:00:00,6.2869,0.2349,Normal,True,False,"(4.00, 4.00)","(10.50, 10.50)"
18,2024-05-13 10:00:00,2024-05-15 10:00:00,2024-06-24 10:00:00,6.2299,0.2349,Normal,True,False,"(4.00, 4.00)","(10.50, 10.50)"
19,2024-06-24 10:00:00,2024-06-30 10:00:00,2024-07-04 10:00:00,-3.2939,0.2349,Normal,True,False,"(4.00, 4.00)","(10.50, 10.50)"
20,2024-06-30 10:00:00,2024-07-03 10:00:00,,-6.0024,0.2349,Normal,True,False,"(4.00, 4.00)","(10.50, 10.50)"
21,2024-07-06 10:00:00,2024-07-14 10:00:00,2024-11-03 11:00:00,21.2568,0.5447,Normal,True,False,"(4.00, 4.00)","(40.00, 40.00)"
22,2024-07-09 10:00:00,2024-07-14 10:00:00,2024-08-05 10:00:00,11.5092,0.5447,Normal,True,False,"(4.00, 4.00)","(40.00, 40.00)"
23,2024-07-13 10:00:00,2024-07-15 10:00:00,2024-08-05 10:00:00,10.5295,0.5447,Normal,True,False,"(4.00, 4.00)","(40.00, 40.00)"
24,2024-08-05 10:00:00,2024-08-06 10:00:00,2024-12-03 11:00:00,55.9228,0.4481,Normal,True,False,"(4.00, 4.00)","(17.33, 17.33)"
25,2024-08-16 10:00:00,2024-08-21 10:00:00,2024-09-06 10:00:00,7.345,0.5447,Normal,True,False,"(4.00, 4.00)","(40.00, 40.00)"
26,2024-09-02 10:00:00,2024-09-05 10:00:00,,-10.4314,0.5447,Normal,True,False,"(4.00, 4.00)","(40.00, 40.00)"
27,2024-09-07 10:00:00,2024-09-09 10:00:00,2025-01-05 11:00:00,66.0408,0.4481,Normal,True,False,"(4.00, 4.00)","(17.33, 17.33)"
28,2024-09-09 10:00:00,2024-09-13 10:00:00,2025-01-07 11:00:00,65.7505,0.5447,Normal,True,False,"(4.00, 4.00)","(40.00, 40.00)"
29,2024-10-24 11:00:00,2024-10-29 11:00:00,2025-02-21 11:00:00,42.3526,0.4859,Trending,False,True,"(18.40, 18.40)","(4.00, 4.00)"
30,2024-10-27 11:00:00,2024-10-29 11:00:00,2025-02-24 11:00:00,42.6267,0.4859,Trending,False,True,"(18.40, 18.40)","(4.00, 4.00)"
31,2024-11-27 11:00:00,2024-12-05 11:00:00,2025-02-25 11:00:00,4.9858,0.1072,Trending,False,True,"(5.00, 5.00)","(4.00, 4.00)"
32,2024-12-05 11:00:00,2024-12-06 11:00:00,2025-02-25 11:00:00,4.7678,0.1188,Trending,True,False,"(4.00, 4.00)","(5.60, 5.60)"
33,2024-12-11 11:00:00,2024-12-15 11:00:00,2024-12-29 11:00:00,4.1417,0.2771,Trending,False,True,"(12.00, 12.00)","(4.00, 4.00)"
34,2024-12-15 11:00:00,2024-12-18 11:00:00,,-6.3379,0.2771,Trending,False,True,"(12.00, 12.00)","(4.00, 4.00)"
35,2024-12-20 11:00:00,2025-01-06 11:00:00,2025-02-24 11:00:00,4.5633,0.1188,Trending,True,False,"(4.00, 4.00)","(5.60, 5.60)"
36,2024-12-23 11:00:00,2024-12-24 11:00:00,2025-02-24 11:00:00,5.2947,0.1072,Trending,False,True,"(5.00, 5.00)","(4.00, 4.00)"
37,2025-01-01 11:00:00,2025-01-03 11:00:00,2025-02-24 11:00:00,6.3578,0.214,Normal,True,False,"(4.00, 4.00)","(9.71, 9.71)"
38,2025-01-08 11:00:00,2025-01-15 11:00:00,2025-02-24 11:00:00,6.2043,0.214,Normal,True,False,"(4.00, 4.00)","(9.71, 9.71)"
39,2025-01-13 11:00:00,2025-01-15 11:00:00,2025-02-25 11:00:00,6.387,0.214,Normal,True,False,"(4.00, 4.00)","(9.71, 9.71)"
40,2025-04-07 10:00:00,2025-04-09 10:00:00,2025-08-05 08:00:00,41.3577,0.5447,Normal,True,False,"(4.00, 4.00)","(26.00, 26.00)"
41,2025-04-25 10:00:00,2025-05-08 10:00:00,2025-08-23 08:00:00,15.4896,0.1573,Normal,True,False,"(4.00, 4.00)","(7.40, 7.40)"
42,2025-05-01 10:00:00,2025-05-08 10:00:00,2025-08-29 08:00:00,14.3839,0.1573,Normal,True,False,"(4.00, 4.00)","(7.40, 7.40)"
