high_by_point_n,high_by_point_m,low_by_point_n,low_by_point_m,high_by_point_n_on_trend,high_by_point_m_on_trend,low_by_point_n_on_trend,low_by_point_m_on_trend,power_scaling_factor,mintick,debug_mode,Fit Score,Total Pnl%,Avg Pnl% per entry,Trade Count,Winning entry%,Avg Winner%,Avg Loser%
4,4,4,4,7,7,4,4,1.1,0.01,FALSE,3.61,393.38,8.74,45,53.33,22.68,-7.19
4,4,4,4,7,7,4,4,1.3,0.01,FALSE,3.61,365.58,8.12,45,53.33,21.08,-6.68
4,4,4,4,7,7,4,7,1.1,0.01,FALSE,4.62,614.51,9.04,68,64.71,17.82,-7.07
4,4,4,4,7,7,4,7,1.3,0.01,FALSE,4.62,570.84,8.39,68,64.71,16.56,-6.57
4,4,4,4,7,7,4,14,1.1,0.01,FALSE,3.65,546.22,8.4,65,60,19.29,-7.93
4,4,4,4,7,7,4,14,1.3,0.01,FALSE,3.64,509.66,7.84,65,60,18.01,-7.42
4,4,4,4,7,7,7,4,1.1,0.01,FALSE,3.82,448.94,7.88,57,57.89,18.42,-6.62
4,4,4,4,7,7,7,4,1.3,0.01,FALSE,3.82,417.08,7.32,57,57.89,17.12,-6.15
4,4,4,4,7,7,7,7,1.1,0.01,FALSE,5.12,454.97,11.37,40,60,23.55,-6.9
4,4,4,4,7,7,7,7,1.3,0.01,FALSE,5.12,422.51,10.56,40,60,21.88,-6.41
4,4,4,4,7,7,7,14,1.1,0.01,FALSE,5.86,518.66,11.79,44,63.64,22.34,-6.67
4,4,4,4,7,7,7,14,1.3,0.01,FALSE,5.86,484.12,11,44,63.64,20.85,-6.22
4,4,4,4,7,7,14,4,1.1,0.01,FALSE,4.99,551.77,11.04,50,64,21.57,-7.69
4,4,4,4,7,7,14,4,1.3,0.01,FALSE,4.98,514.85,10.3,50,64,20.13,-7.19
4,4,4,4,7,7,14,7,1.1,0.01,FALSE,3.05,416.87,8.02,52,53.85,22.15,-8.47
4,4,4,4,7,7,14,7,1.3,0.01,FALSE,3.05,389.15,7.48,52,53.85,20.67,-7.9
4,4,4,4,7,7,14,14,1.1,0.01,FALSE,6.66,507.83,15.39,33,63.64,28.46,-7.48
4,4,4,4,7,7,14,14,1.3,0.01,FALSE,6.67,476.21,14.43,33,63.64,26.67,-7
4,4,4,4,7,14,4,4,1.1,0.01,FALSE,3.34,401.82,8.37,48,52.08,22.95,-7.47
4,4,4,4,7,14,4,4,1.3,0.01,FALSE,3.34,375.44,7.82,48,52.08,21.44,-6.98
4,4,4,4,7,14,4,7,1.1,0.01,FALSE,3.88,566.26,8.33,68,61.76,18.16,-7.55
4,4,4,4,7,14,4,7,1.3,0.01,FALSE,3.88,528.97,7.78,68,61.76,16.97,-7.06
4,4,4,4,7,14,4,14,1.1,0.01,FALSE,3.25,524.43,7.6,69,57.97,18.93,-8.03
4,4,4,4,7,14,4,14,1.3,0.01,FALSE,3.24,491.53,7.12,69,57.97,17.76,-7.55
4,4,4,4,7,14,7,4,1.1,0.01,FALSE,3.36,422.84,7.29,58,56.9,18.24,-7.16
4,4,4,4,7,14,7,4,1.3,0.01,FALSE,3.36,394.97,6.81,58,56.9,17.04,-6.69
4,4,4,4,7,14,7,7,1.1,0.01,FALSE,4.24,424.87,10.12,42,57.14,23.17,-7.28
4,4,4,4,7,14,7,7,1.3,0.01,FALSE,4.24,396.74,9.45,42,57.14,21.63,-6.79
4,4,4,4,7,14,7,14,1.1,0.01,FALSE,4.86,491.33,10.92,45,62.22,22.09,-7.49
4,4,4,4,7,14,7,14,1.3,0.01,FALSE,4.86,460.93,10.24,45,62.22,20.73,-7.02
4,4,4,4,7,14,14,4,1.1,0.01,FALSE,3.93,510.75,9.82,52,61.54,21.4,-8.7
4,4,4,4,7,14,14,4,1.3,0.01,FALSE,3.92,478.4,9.2,52,61.54,20.07,-8.2
4,4,4,4,7,14,14,7,1.1,0.01,FALSE,2.69,385.52,7.27,53,52.83,21.94,-9.15
4,4,4,4,7,14,14,7,1.3,0.01,FALSE,2.69,361.79,6.83,53,52.83,20.59,-8.59
4,4,4,4,7,14,14,14,1.1,0.01,FALSE,5.16,474.76,13.56,35,60,28.04,-8.15
4,4,4,4,7,14,14,14,1.3,0.01,FALSE,5.16,447.36,12.78,35,60,26.42,-7.67
4,4,4,4,14,4,4,4,1.1,0.01,FALSE,4.09,555.88,10.29,54,55.56,24.53,-7.5
4,4,4,4,14,4,4,4,1.3,0.01,FALSE,4.09,519.44,9.62,54,55.56,22.92,-7.01
4,4,4,4,14,4,4,7,1.1,0.01,FALSE,4.98,778.53,10.52,74,63.51,20.72,-7.24
4,4,4,4,14,4,4,7,1.3,0.01,FALSE,4.98,727.63,9.83,74,63.51,19.37,-6.77
4,4,4,4,14,4,4,14,1.1,0.01,FALSE,3.85,709.43,8.87,80,61.25,19.55,-8.02
4,4,4,4,14,4,4,14,1.3,0.01,FALSE,3.84,664.79,8.31,80,61.25,18.34,-7.55
4,4,4,4,14,4,7,4,1.1,0.01,FALSE,4.66,626.79,9.95,63,60.32,21,-6.86
4,4,4,4,14,4,7,4,1.3,0.01,FALSE,4.66,585.39,9.29,63,60.32,19.62,-6.41
4,4,4,4,14,4,7,7,1.1,0.01,FALSE,5.41,619.15,12.38,50,60,25.31,-7.01
4,4,4,4,14,4,7,7,1.3,0.01,FALSE,5.41,578.03,11.56,50,60,23.63,-6.55
4,4,4,4,14,4,7,14,1.1,0.01,FALSE,6,652.32,12.31,53,66.04,22.37,-7.25
4,4,4,4,14,4,7,14,1.3,0.01,FALSE,5.99,612.01,11.55,53,66.04,20.99,-6.82
4,4,4,4,14,4,14,4,1.1,0.01,FALSE,5.1,700.11,12.5,56,62.5,24.88,-8.13
4,4,4,4,14,4,14,4,1.3,0.01,FALSE,5.07,655.64,11.71,56,62.5,23.33,-7.66
4,4,4,4,14,4,14,7,1.1,0.01,FALSE,4.07,617.95,10.84,57,57.89,24.83,-8.39
4,4,4,4,14,4,14,7,1.3,0.01,FALSE,4.07,579.56,10.17,57,57.89,23.29,-7.87
4,4,4,4,14,4,14,14,1.1,0.01,FALSE,6.67,714.61,14.89,48,66.67,26.27,-7.88
4,4,4,4,14,4,14,14,1.3,0.01,FALSE,6.66,672.61,14.01,48,66.67,24.74,-7.43
4,4,4,4,14,7,4,4,1.1,0.01,FALSE,2.93,412.74,6.77,61,55.74,18.42,-7.91
4,4,4,4,14,7,4,4,1.3,0.01,FALSE,2.93,385.55,6.32,61,55.74,17.21,-7.4
4,4,4,4,14,7,4,7,1.1,0.01,FALSE,3.5,578.53,7.82,74,60.81,18,-7.98
