high_by_point_n,high_by_point_m,low_by_point_n,low_by_point_m,high_by_point_n_on_trend,high_by_point_m_on_trend,low_by_point_n_on_trend,low_by_point_m_on_trend,power_scaling_factor,mintick,debug_mode,Fit Score,Total Pnl%,Avg Pnl% per entry,Trade Count,Winning entry%,Avg Winner%,Avg Loser%
4,4,4,10,10,10,10,10,1.2,0.01,False,5.69,323.15,9.23,35,60.0,18.67,-4.92
4,4,4,10,10,10,10,10,1.3,0.01,False,5.69,323.15,9.23,35,60.0,18.67,-4.92
4,4,10,4,4,4,4,4,1,0.01,False,3.22,311.41,4.87,64,56.25,12.54,-5.01
4,4,10,4,4,4,4,4,1.1,0.01,False,3.22,311.41,4.87,64,56.25,12.54,-5.01
4,4,10,4,4,4,4,4,1.2,0.01,False,3.22,311.41,4.87,64,56.25,12.54,-5.01
4,4,10,4,4,4,4,4,1.3,0.01,False,3.22,311.41,4.87,64,56.25,12.54,-5.01
4,4,10,4,4,4,4,10,1,0.01,False,4.35,393.47,5.87,67,61.19,12.46,-4.51
4,4,10,4,4,4,4,10,1.1,0.01,False,4.35,393.47,5.87,67,61.19,12.46,-4.51
4,4,10,4,4,4,4,10,1.2,0.01,False,4.35,393.47,5.87,67,61.19,12.46,-4.51
4,4,10,4,4,4,4,10,1.3,0.01,False,4.35,393.47,5.87,67,61.19,12.46,-4.51
4,4,10,4,4,4,10,4,1,0.01,False,3.52,363.53,5.19,70,57.14,12.7,-4.81
4,4,10,4,4,4,10,4,1.1,0.01,False,3.52,363.53,5.19,70,57.14,12.7,-4.81
4,4,10,4,4,4,10,4,1.2,0.01,False,3.52,363.53,5.19,70,57.14,12.7,-4.81
4,4,10,4,4,4,10,4,1.3,0.01,False,3.52,363.53,5.19,70,57.14,12.7,-4.81
4,4,10,4,4,4,10,10,1,0.01,False,4.63,347.2,6.31,55,61.82,13.03,-4.56
4,4,10,4,4,4,10,10,1.1,0.01,False,4.63,347.2,6.31,55,61.82,13.03,-4.56
4,4,10,4,4,4,10,10,1.2,0.01,False,4.63,347.2,6.31,55,61.82,13.03,-4.56
4,4,10,4,4,4,10,10,1.3,0.01,False,4.63,347.2,6.31,55,61.82,13.03,-4.56
4,4,10,4,4,10,4,4,1,0.01,False,2.6,223.29,4.21,53,47.17,14.52,-4.99
4,4,10,4,4,10,4,4,1.1,0.01,False,2.6,223.29,4.21,53,47.17,14.52,-4.99
4,4,10,4,4,10,4,4,1.2,0.01,False,2.6,223.29,4.21,53,47.17,14.52,-4.99
4,4,10,4,4,10,4,4,1.3,0.01,False,2.6,223.29,4.21,53,47.17,14.52,-4.99
4,4,10,4,4,10,4,10,1,0.01,False,3.66,310.3,5.17,60,58.33,12.2,-4.66
4,4,10,4,4,10,4,10,1.1,0.01,False,3.66,310.3,5.17,60,58.33,12.2,-4.66
4,4,10,4,4,10,4,10,1.2,0.01,False,3.66,310.3,5.17,60,58.33,12.2,-4.66
4,4,10,4,4,10,4,10,1.3,0.01,False,3.66,310.3,5.17,60,58.33,12.2,-4.66
4,4,10,4,4,10,10,4,1,0.01,False,2.7,236.69,3.94,60,51.67,12.12,-4.79
4,4,10,4,4,10,10,4,1.1,0.01,False,2.7,236.69,3.94,60,51.67,12.12,-4.79
4,4,10,4,4,10,10,4,1.2,0.01,False,2.7,236.69,3.94,60,51.67,12.12,-4.79
4,4,10,4,4,10,10,4,1.3,0.01,False,2.7,236.69,3.94,60,51.67,12.12,-4.79
4,4,10,4,4,10,10,10,1,0.01,False,3.18,204.47,4.99,41,51.22,14.2,-4.69
4,4,10,4,4,10,10,10,1.1,0.01,False,3.18,204.47,4.99,41,51.22,14.2,-4.69
4,4,10,4,4,10,10,10,1.2,0.01,False,3.18,204.47,4.99,41,51.22,14.2,-4.69
