high_by_point_n,high_by_point_m,low_by_point_n,low_by_point_m,high_by_point_n_on_trend,high_by_point_m_on_trend,low_by_point_n_on_trend,low_by_point_m_on_trend,power_scaling_factor,mintick,debug_mode,Fit Score,Total Pnl%,Avg Pnl% per entry,Trade Count,Winning entry%,Avg Winner%,Avg Loser%,Scale
4,4,4,14,4,4,4,4,2,0.01,False,3.54,343.09,6.35,54,55.56,15.95,-5.64,1.305
4,4,4,14,4,4,4,14,1.1,0.01,False,4.35,636.26,8.84,72,59.72,19.21,-6.55,1.593
4,4,4,14,4,4,4,14,1.3,0.01,False,4.35,598.9,8.32,72,59.72,18.09,-6.17,1.5
4,4,4,14,4,4,4,14,1.5,0.01,False,4.35,569.9,7.92,72,59.72,17.21,-5.87,1.427
4,4,4,14,4,4,4,14,2,0.01,False,4.35,521.18,7.24,72,59.72,15.74,-5.37,1.305
4,4,4,14,4,4,14,4,1.1,0.01,False,5.81,610.31,11.52,53,64.15,21.68,-6.68,1.593
4,4,4,14,4,4,14,4,1.3,0.01,False,5.81,574.47,10.84,53,64.15,20.41,-6.29,1.5
4,4,4,14,4,4,14,4,1.5,0.01,False,5.81,546.66,10.31,53,64.15,19.42,-5.99,1.427
4,4,4,14,4,4,14,4,2,0.01,False,5.81,499.93,9.43,53,64.15,17.76,-5.47,1.305
4,4,4,14,4,4,14,14,1.1,0.01,False,5.95,535.54,13.06,41,63.41,24.76,-7.21,1.593
4,4,4,14,4,4,14,14,1.3,0.01,False,5.94,505.92,12.34,41,63.41,23.39,-6.82,1.5
4,4,4,14,4,4,14,14,1.5,0.01,False,5.94,482.34,11.76,41,63.41,22.31,-6.51,1.427
4,4,4,14,4,4,14,14,2,0.01,False,5.94,440.88,10.75,41,63.41,20.39,-5.95,1.305
4,4,4,14,4,14,4,4,1.1,0.01,False,3.47,442.16,9.61,46,50.0,27.0,-7.77,1.593
4,4,4,14,4,14,4,4,1.3,0.01,False,3.47,416.2,9.05,46,50.0,25.41,-7.31,1.5
4,4,4,14,4,14,4,4,1.5,0.01,False,3.47,396.05,8.61,46,50.0,24.18,-6.96,1.427
4,4,4,14,4,14,4,4,2,0.01,False,3.47,362.19,7.87,46,50.0,22.11,-6.37,1.305
4,4,4,14,4,14,4,14,1.1,0.01,False,2.95,477.59,7.7,62,54.84,21.23,-8.73,1.593
4,4,4,14,4,14,4,14,1.3,0.01,False,2.95,450.91,7.27,62,54.84,20.06,-8.26,1.5
4,4,4,14,4,14,4,14,1.5,0.01,False,2.95,429.76,6.93,62,54.84,19.13,-7.88,1.427
4,4,4,14,4,14,4,14,2,0.01,False,2.95,392.85,6.34,62,54.84,17.49,-7.2,1.305
4,4,4,14,4,14,14,4,1.1,0.01,False,3.86,512.79,10.26,50,56.0,24.71,-8.14,1.593
4,4,4,14,4,14,14,4,1.3,0.01,False,3.85,484.05,9.68,50,56.0,23.35,-7.71,1.5
4,4,4,14,4,14,14,4,1.5,0.01,False,3.85,461.31,9.23,50,56.0,22.26,-7.36,1.427
4,4,4,14,4,14,14,4,2,0.01,False,3.85,421.7,8.43,50,56.0,20.34,-6.73,1.305
4,4,4,14,4,14,14,14,1.1,0.01,False,4.86,457.5,14.76,31,54.84,33.88,-8.46,1.593
4,4,4,14,4,14,14,14,1.3,0.01,False,4.85,433.62,13.99,31,54.84,32.14,-8.05,1.5
4,4,4,14,4,14,14,14,1.5,0.01,False,4.84,414.14,13.36,31,54.84,30.7,-7.7,1.427
4,4,4,14,4,14,14,14,2,0.01,False,4.84,378.35,12.2,31,54.84,28.05,-7.03,1.305
4,4,4,14,14,4,4,4,1.1,0.01,False,3.85,513.82,10.7,48,52.08,27.77,-7.84,1.593
4,4,4,14,14,4,4,4,1.3,0.01,False,3.85,483.65,10.08,48,52.08,26.14,-7.38,1.5
4,4,4,14,14,4,4,4,1.5,0.01,False,3.85,460.24,9.59,48,52.08,24.87,-7.03,1.427
4,4,4,14,14,4,4,4,2,0.01,False,3.85,420.89,8.77,48,52.08,22.75,-6.43,1.305
4,4,4,14,14,4,4,14,1.1,0.01,False,3.7,684.61,9.13,75,58.67,21.33,-8.19,1.593
4,4,4,14,14,4,4,14,1.3,0.01,False,3.69,646.5,8.62,75,58.67,20.15,-7.75,1.5
4,4,4,14,14,4,4,14,1.5,0.01,False,3.69,616.25,8.22,75,58.67,19.21,-7.39,1.427
4,4,4,14,14,4,4,14,2,0.01,False,3.69,563.31,7.51,75,58.67,17.56,-6.76,1.305
4,4,4,14,14,4,14,4,1.1,0.01,False,4.93,679.73,13.33,51,58.82,28.43,-8.24,1.593
4,4,4,14,14,4,14,4,1.3,0.01,False,4.92,641.7,12.58,51,58.82,26.85,-7.8,1.5
4,4,4,14,14,4,14,4,1.5,0.01,False,4.91,611.59,11.99,51,58.82,25.6,-7.45,1.427
4,4,4,14,14,4,14,4,2,0.01,False,4.91,559.06,10.96,51,58.82,23.4,-6.81,1.305
4,4,4,14,14,4,14,14,1.1,0.01,False,6.97,674.34,17.29,39,64.1,31.49,-8.06,1.593
4,4,4,14,14,4,14,14,1.3,0.01,False,6.96,639.21,16.39,39,64.1,29.86,-7.66,1.5
4,4,4,14,14,4,14,14,1.5,0.01,False,6.95,610.52,15.65,39,64.1,28.52,-7.32,1.427
4,4,4,14,14,4,14,14,2,0.01,False,6.96,557.76,14.3,39,64.1,26.06,-6.69,1.305
4,4,4,14,14,14,4,4,1.1,0.01,False,3.98,424.84,11.48,37,51.35,29.86,-7.92,1.593
4,4,4,14,14,14,4,4,1.3,0.01,False,3.99,401.59,10.85,37,51.35,28.22,-7.47,1.5
4,4,4,14,14,14,4,4,1.5,0.01,False,3.99,383.01,10.35,37,51.35,26.9,-7.12,1.427
4,4,4,14,14,14,4,4,2,0.01,False,3.99,350.05,9.46,37,51.35,24.59,-6.51,1.305
4,4,4,14,14,14,4,14,1.1,0.01,False,3.37,512.42,9.15,56,57.14,22.76,-9.0,1.593
4,4,4,14,14,14,4,14,1.3,0.01,False,3.37,485.67,8.67,56,57.14,21.59,-8.54,1.5
4,4,4,14,14,14,4,14,1.5,0.01,False,3.37,463.83,8.28,56,57.14,20.62,-8.17,1.427
4,4,4,14,14,14,4,14,2,0.01,False,3.37,423.76,7.57,56,57.14,18.84,-7.46,1.305
4,4,4,14,14,14,14,4,1.1,0.01,False,4.94,549.51,13.4,41,60.98,27.56,-8.72,1.593
4,4,4,14,14,14,14,4,1.3,0.01,False,4.93,520.62,12.7,41,60.98,26.13,-8.29,1.5
4,4,4,14,14,14,14,4,1.5,0.01,False,4.92,497.12,12.12,41,60.98,24.96,-7.92,1.427
4,4,4,14,14,14,14,4,2,0.01,False,4.92,454.19,11.08,41,60.98,22.8,-7.24,1.305
4,4,4,14,14,14,14,14,1.1,0.01,False,8.48,499.15,21.7,23,60.87,40.42,-7.42,1.593
